perfmode,transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
APS,298.271,622,19,435,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,150.742,235,6,238.7,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,1599.59,623,10,125,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,984.105,630,6,324.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,512.754,628,6,375.3,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,2868.19,635,6,172.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1345.35,638,19,181.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,872.387,626,6,350.2,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,783.116,536,28,1626,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,317.23,541,36,1586.3,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,186.883,246,21,1539.6,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,1789.08,624,25,1541.7,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,969.662,629,21,1512.8,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,649.862,625,18,1585.3,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,3044.17,630,30,1525.7,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1501.97,541,18,1621.6,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1083.23,630,18,1603.6,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,744.952,622,21,1496.2,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,353.966,633,18,1674.8,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,207.624,249,18,1622.5,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,2040.19,532,42,4021.5,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,983.409,537,28,1595.1,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,657.134,541,18,1658.4,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,3001.52,626,25,1462.8,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,1568.25,625,42,4043.2,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,1108.58,537,42,4070.3,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,757.431,539,18,1389.3,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,350.146,632,18,1634.8,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,206.23,244,18,1661.3,103,202,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,2059.88,627,42,3996.2,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,1082.1,539,18,1632,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,652.94,543,18,1597.2,103,202,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,3398.31,638,18,1597.2,103,202,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
