transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nthreads,cpu_util,nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
189.343,230.0,3,202.7,1,60.7,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
3412.17,479.0,2,112.1,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1383.17,479.0,3,103.6,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
766.885,235.0,2,104.1,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1713.1499999999999,525.0,25,1269.8,1,94.4,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
983.32,524.0,3,202.9,1,93,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
599.757,558.0,3,202.9,1,93.8,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
8091.81,476.0,2,111.8,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3962.33,481.0,4,104.4,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2406.0899999999997,487.0,6,117.1,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
710.078,537.0,14,1381.6,1,99.2,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1711.6899999999998,542.0,14,1378.8,8,449,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
185.194,249.0,14,1039.2,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
3443.7700000000004,478.0,6,202.8,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1441.19,483.0,37,2515.3,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
783.621,232.0,30,2517.8,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
2879.2,634.0,14,1031.4,1,99.6,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
7554.86,636.0,14,1365.3,8,492,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
968.225,626.0,10,905.2,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
13784.0,478.0,6,177.7,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5431.19,484.0,7,211.7,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
4011.9800000000005,482.0,35,2385.6,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1685.92,633.0,14,1004.0,1,99.6,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
4354.36,639.0,14,1381.4,8,470,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
586.101,630.0,14,1370.0,1,99.1,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
8230.11,477.0,6,198.0,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
4103.42,482.0,38,2525.2,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2449.46,488.0,38,2555.3,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3456.29,475.0,14,337.6,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1380.18,479.0,6,275.5,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
764.674,236.0,6,309.2,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
8074.44,473.0,14,296.5,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
4010.89,482.0,7,310.8,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2358.64,479.0,26,222.8,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
13816.2,475.0,14,218.7,1,99.7,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5485.46,475.0,6,282.5,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
3868.05,480.0,24,176.8,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
3532.52,456.0,40,1781.0,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1399.1899999999998,468.0,15,272.1,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
768.822,226.0,1,109.2,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
